date,equity,vol_scaler,est_vol,orders,weights,notes
2026-06-10,1000.02,1.0,0.154,7,"{""QLD"": 0.225, ""QQQ"": 0.225, ""XLP"": 0.0933, ""XLU"": 0.0933, ""XLV"": 0.0933, ""TLT"": 0.1992, ""GLD"": 0.0708}",
2026-06-11,996.93,1.0,0.156,0,"{""QLD"": 0.225, ""QQQ"": 0.225, ""XLP"": 0.0933, ""XLU"": 0.0933, ""XLV"": 0.0933, ""TLT"": 0.2019, ""GLD"": 0.0681}",no_rebalance
2026-06-12,1016.11,0.943,0.17,8,"{""QLD"": 0.2122, ""QQQ"": 0.2122, ""XLP"": 0.088, ""XLU"": 0.088, ""XLV"": 0.088, ""TLT"": 0.1901, ""GLD"": 0.0645, ""SHV"": 0.0569}",
2026-06-15,1039.75,0.941,0.17,0,"{""QLD"": 0.2118, ""QQQ"": 0.2118, ""XLP"": 0.0879, ""XLU"": 0.0879, ""XLV"": 0.0879, ""TLT"": 0.189, ""GLD"": 0.0651, ""SHV"": 0.0587}",no_rebalance
2026-06-16,1043.37,0.913,0.175,6,"{""QLD"": 0.2055, ""QQQ"": 0.2055, ""XLP"": 0.0853, ""XLU"": 0.0853, ""XLV"": 0.0853, ""TLT"": 0.1828, ""GLD"": 0.0638, ""SHV"": 0.0866}",
2026-06-17,1035.8,0.905,0.177,0,"{""QLD"": 0.2035, ""QQQ"": 0.2035, ""XLP"": 0.0844, ""XLU"": 0.0844, ""XLV"": 0.0844, ""TLT"": 0.1836, ""GLD"": 0.0606, ""SHV"": 0.0954}",no_rebalance
2026-06-18,1035.88,0.896,0.179,0,"{""QLD"": 0.2016, ""QQQ"": 0.2016, ""XLP"": 0.0836, ""XLU"": 0.0836, ""XLV"": 0.0836, ""TLT"": 0.1824, ""GLD"": 0.0596, ""SHV"": 0.1038}",no_rebalance
2026-06-22,1037.3,0.889,0.18,6,"{""QLD"": 0.2, ""QQQ"": 0.2, ""XLP"": 0.083, ""XLU"": 0.083, ""XLV"": 0.083, ""TLT"": 0.1809, ""GLD"": 0.0591, ""SHV"": 0.1112}",
2026-06-23,1013.4,0.887,0.18,0,"{""QLD"": 0.1996, ""QQQ"": 0.1996, ""XLP"": 0.0828, ""XLU"": 0.0828, ""XLV"": 0.0828, ""TLT"": 0.1796, ""GLD"": 0.0599, ""SHV"": 0.1129}",no_rebalance
2026-06-24,1017.17,0.859,0.186,8,"{""QLD"": 0.1932, ""QQQ"": 0.1932, ""XLP"": 0.0801, ""XLU"": 0.0801, ""XLV"": 0.0801, ""TLT"": 0.1734, ""GLD"": 0.0585, ""SHV"": 0.1414}",
2026-06-25,1028.94,0.858,0.187,0,"{""QLD"": 0.193, ""QQQ"": 0.193, ""XLP"": 0.0801, ""XLU"": 0.0801, ""XLV"": 0.0801, ""TLT"": 0.1707, ""GLD"": 0.0608, ""SHV"": 0.1423}",no_rebalance
2026-06-26,1014.72,0.862,0.186,0,"{""QLD"": 0.194, ""QQQ"": 0.194, ""XLP"": 0.0805, ""XLU"": 0.0805, ""XLV"": 0.0805, ""TLT"": 0.1738, ""GLD"": 0.0589, ""SHV"": 0.138}",no_rebalance
2026-06-29,1023.42,0.858,0.187,0,"{""QLD"": 0.193, ""QQQ"": 0.193, ""XLP"": 0.08, ""XLU"": 0.08, ""XLV"": 0.08, ""TLT"": 0.1708, ""GLD"": 0.0608, ""SHV"": 0.1424}",no_rebalance
2026-06-30,1030.73,0.851,0.188,0,"{""QLD"": 0.1916, ""QQQ"": 0.1916, ""XLP"": 0.0795, ""XLU"": 0.0795, ""XLV"": 0.0795, ""TLT"": 0.1691, ""GLD"": 0.0608, ""SHV"": 0.1486}",no_rebalance
2026-07-01,1028.42,0.851,0.188,0,"{""QLD"": 0.1914, ""QQQ"": 0.1914, ""XLP"": 0.0794, ""XLU"": 0.0794, ""XLV"": 0.0794, ""TLT"": 0.1671, ""GLD"": 0.0626, ""SHV"": 0.1494}",no_rebalance
2026-07-02,1026.67,0.842,0.19,0,"{""QLD"": 0.1893, ""QQQ"": 0.1893, ""XLP"": 0.0785, ""XLU"": 0.0785, ""XLV"": 0.0785, ""TLT"": 0.1649, ""GLD"": 0.0623, ""SHV"": 0.1584}",no_rebalance
2026-07-06,1026.81,0.848,0.189,0,"{""QLD"": 0.1908, ""QQQ"": 0.1908, ""XLP"": 0.0791, ""XLU"": 0.0791, ""XLV"": 0.0791, ""TLT"": 0.1668, ""GLD"": 0.0621, ""SHV"": 0.1522}",no_rebalance
2026-07-07,1023.19,0.864,0.185,0,"{""QLD"": 0.1945, ""QQQ"": 0.1945, ""XLP"": 0.0807, ""XLU"": 0.0807, ""XLV"": 0.0807, ""TLT"": 0.1703, ""GLD"": 0.0631, ""SHV"": 0.1358}",no_rebalance
2026-07-08,1010.52,0.851,0.188,0,"{""QLD"": 0.1915, ""QQQ"": 0.1915, ""XLP"": 0.0795, ""XLU"": 0.0795, ""XLV"": 0.0795, ""TLT"": 0.1665, ""GLD"": 0.0633, ""SHV"": 0.1487}",no_rebalance
2026-07-09,1018.53,0.87,0.184,0,"{""QLD"": 0.1957, ""QQQ"": 0.1957, ""XLP"": 0.0812, ""XLU"": 0.0812, ""XLV"": 0.0812, ""TLT"": 0.1702, ""GLD"": 0.0646, ""SHV"": 0.1302}",no_rebalance
