date,strategy,regime,portfolio_value,sharpe,expected_return,annual_vol,orders_placed,final_weights,notes
2026-05-22,HRP,RISK_ON,1000.0,1.0243,0.128,0.081,10,"{""BITO"": 0.007834739761713201, ""VEA"": 0.05903033943629692, ""AVUV"": 0.036808929611645134, ""IWM"": 0.020521728269681534, ""XLC"": 0.044701577388637045, ""QQQ"": 0.06243490760993826, ""VGT"": 0.038567121053053974, ""GLD"": 0.04252442925069335, ""TLT"": 0.3375762276183406, ""SHV"": 0.35}",
2026-05-26,HRP_MOMENTUM,RISK_ON,1005.41,1.9604,0.6829,0.3254,0,"{""TECL"": 0.1976951533793892, ""VGT"": 0.00010238258466168058, ""UPRO"": 8.121468831559011e-05, ""QQQ"": 0.00011464150640740565, ""TQQQ"": 0.1976931612520765, ""SOXL"": 0.19768748275908846, ""MTUM"": 0.00010953176156909868, ""BITO"": 9.852883263574952e-05, ""VEA"": 0.0001152989055002519, ""IWM"": 0.0001524646924226607, ""AVUV"": 0.00015013963793347626, ""GLD"": 0.0, ""TLT"": 0.0, ""SHV"": 0.006000000000000001, ""RGTI"": 0.15909664054759978, ""QBTS"": 0.1501981446455913, ""LLY"": 0.09070521480680897}",Vol scaling: 50.4% > limit 50.0%
2026-05-27,HRP_MOMENTUM,RISK_ON,1007.34,2.0798,0.6671,0.2991,13,"{""VEA"": 0.002480386330089019, ""IWM"": 0.002761722200635606, ""AVUV"": 0.001735416904735102, ""BITO"": 0.0021995320468744177, ""TQQQ"": 0.19145665022636602, ""UPRO"": 0.0022760193058232524, ""QQQ"": 0.0035014261116866, ""TECL"": 0.19177197976377316, ""SOXL"": 0.1914427726224253, ""MTUM"": 0.004374094487591542, ""TLT"": 0.0, ""SHV"": 0.006, ""VGT"": 0.0, ""GLD"": 0.0, ""TSLA"": 0.4}",
2026-05-28,HRP_MOMENTUM,RISK_ON,1037.78,2.0503,0.6573,0.2986,11,"{""VEA"": 0.004129503104970473, ""IWM"": 0.004600505151521262, ""AVUV"": 0.002890633846681032, ""BITO"": 0.0036631443455601765, ""TQQQ"": 0.3191011247562004, ""UPRO"": 0.003790829567088915, ""QQQ"": 0.005832707847613226, ""TECL"": 0.31962592305894433, ""SOXL"": 0.31907762920928295, ""MTUM"": 0.007287999112137143, ""TLT"": 0.0, ""SHV"": 0.01, ""VGT"": 0.0, ""GLD"": 0.0}",
2026-05-29,HRP_MOMENTUM,RISK_ON,1050.21,2.0452,0.6556,0.2986,13,"{""VEA"": 0.002477619877499201, ""IWM"": 0.00275933222583238, ""AVUV"": 0.0017334228627354285, ""BITO"": 0.0021944723767481906, ""TQQQ"": 0.19145903376074877, ""UPRO"": 0.002272515186775207, ""QQQ"": 0.0034969825008220835, ""TECL"": 0.1917733089167336, ""SOXL"": 0.19144471353509598, ""MTUM"": 0.0043885987570092475, ""TLT"": 0.0, ""SHV"": 0.006000000000000001, ""VGT"": 0.0, ""GLD"": 0.0, ""SNOW"": 0.15486467918759136, ""ONDS"": 0.12321983221573922, ""RCAT"": 0.1219154885966695}",
2026-06-01,HRP_MOMENTUM,RISK_ON,1103.93,2.0256,0.649,0.2982,7,"{""VEA"": 0.0024926200163244445, ""IWM"": 0.0027713765279992076, ""AVUV"": 0.0017377956253339457, ""BITO"": 0.0022070290790424923, ""TQQQ"": 0.19142350532725125, ""UPRO"": 0.0022864783195621786, ""QQQ"": 0.003523299708777313, ""TECL"": 0.1917363414902621, ""SOXL"": 0.19140974827623974, ""MTUM"": 0.004411805629207159, ""TLT"": 0.0, ""SHV"": 0.005999999999999998, ""VGT"": 0.0, ""GLD"": 0.0, ""ASTC"": 0.2805900688047884, ""REPL"": 0.06107139588188054, ""SPCE"": 0.05833853531333101}",
2026-06-02,HRP_MOMENTUM,RISK_ON,1105.86,1.4394,0.7133,0.4643,10,"{""TQQQ"": 0.19066900130386905, ""TECL"": 0.1906487238339867, ""QQQ"": 0.004115949449220325, ""UPRO"": 0.002401705136674714, ""SOXL"": 0.19050229696440402, ""MTUM"": 0.00322490037963977, ""BITO"": 0.001379787204444932, ""VEA"": 0.003668724267647249, ""IWM"": 0.0035792774075705893, ""AVUV"": 0.00380963405254262, ""TLT"": 0.0, ""SHV"": 0.006, ""VGT"": 0.0, ""GLD"": 0.0, ""NVDA"": 0.4}",
2026-06-03,HRP_MOMENTUM,RISK_ON,1118.13,1.4433,0.7165,0.4653,9,"{""TQQQ"": 0.19118564661786666, ""TECL"": 0.19116491196541616, ""QQQ"": 0.004379058496302296, ""UPRO"": 0.002661714864217296, ""SOXL"": 0.1910175161331386, ""MTUM"": 0.0034700880746549013, ""BITO"": 0.0, ""VEA"": 0.003831246693857955, ""IWM"": 0.0038439661826748833, ""AVUV"": 0.0024458509718712942, ""TLT"": 0.0, ""SHV"": 0.006, ""VGT"": 0.0, ""GLD"": 0.0, ""BJDX"": 0.15275768828640446, ""MRVL"": 0.13057792839888957, ""HPE"": 0.116664383314706}",
2026-06-04,HRP_MOMENTUM,RISK_ON,1095.71,1.4082,0.7006,0.4656,5,"{""TQQQ"": 0.3186476117373825, ""TECL"": 0.31861225738621, ""QQQ"": 0.0073032584238309425, ""UPRO"": 0.0044423563002423385, ""SOXL"": 0.3183676215205811, ""MTUM"": 0.005790978152065106, ""BITO"": 0.0, ""VEA"": 0.006370475947019517, ""IWM"": 0.006393241665158138, ""AVUV"": 0.004072198867510421, ""TLT"": 0.0, ""SHV"": 0.01, ""VGT"": 0.0, ""GLD"": 0.0}",
2026-06-05,HRP_MOMENTUM,RISK_ON,1087.57,2.5449,1.5024,0.5727,3,"{""TQQQ"": 0.19117080450718182, ""UPRO"": 0.0027658887187829934, ""QQQ"": 0.004201906332294307, ""TECL"": 0.1910716781319349, ""SOXL"": 0.19098676109288512, ""MTUM"": 0.003650790988004817, ""BITO"": 0.0, ""VEA"": 0.0038394832283963043, ""IWM"": 0.003856224906668604, ""AVUV"": 0.0024564620938511226, ""TLT"": 0.0, ""SHV"": 0.006000000000000001, ""VGT"": 0.0, ""GLD"": 0.0, ""LASE"": 0.23632376003286906, ""HPE"": 0.08293645512045232, ""MRVL"": 0.0807397848466787}",
