timestamp,regime,vol_signal,trend_signal,flight_signal
2026-05-22T16:12:54.010799,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-05-22T16:36:40.221345,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-05-26T17:07:59.278069,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-05-27T17:14:37.310743,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-05-27T18:49:40.759917,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-05-28T17:12:45.897791,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-05-29T13:34:51.196860,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-06-01T13:36:31.632905,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-06-02T13:43:49.102221,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-06-03T13:37:56.454321,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-06-04T13:36:49.724269,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-06-05T13:36:04.957078,RISK_ON,RISK_ON,RISK_ON,RISK_ON
2026-06-08T13:46:38.726598,RISK_ON,RISK_ON,RISK_ON,CHOPPY
2026-06-09T13:51:06.827384,RISK_ON,RISK_ON,RISK_ON,CHOPPY
2026-06-10T13:56:32.349493,RISK_ON,RISK_ON,RISK_ON,CHOPPY
2026-06-11T13:33:58.718826,RISK_ON,RISK_ON,RISK_ON,CHOPPY
